Zip_Code,Lat_ft,Long_ft
94803,3802020,4817870
94804,3788080,4799740
94805,3795340,4805990
94806,3808880,4802470
94901,3811410,4753690
94903,3828920,4742750
94904,3801370,4741550
94920,3777970,4763300
94922,3949870,4634340
94923,3952030,4611580
94924,3797200,4695660
94925,3791690,4750410
94928,3949370,4707210
94929,3919380,4629860
94930,3808590,4717930
94931,3942340,4700090
94933,3827230,4701680
94937,3860250,4635690
94938,3827650,4697050
94939,3797640,4744860
94940,3897740,4647830
94941,3781770,4734530
94945,3867600,4742450
94946,3842150,4697780
94947,3863090,4719780
94949,3844120,4745680
94951,3940130,4722820
94952,3904620,4681190
94954,3903170,4743850
94956,3826460,4671240
94957,3807410,4736620
94960,3819990,4733160
94963,3822610,4705250
94964,3798530,4756860
94965,3763790,4747570
94970,3793810,4708380
94971,3914780,4642100
94972,3942040,4639770
94973,3823350,4714390
95002,3609590,4891160
95003,3448470,4915320
95004,3396050,4984090
95005,3484070,4854620
95006,3511660,4839590
95008,3548060,4898750
95010,3437730,4892650
95012,3361580,4948530
95013,3518250,4955990
95014,3559130,4858320
95017,3472490,4819180
95018,3476700,4865030
95019,3420070,4943840
95020,3443100,5002990
95023,3383560,5096640
95030,3527910,4887890
95032,3524250,4905300
95033,3500490,4894610
95035,3603590,4941700
95037,3498120,5001190
95039,3381160,4942240
95043,3243380,5177820
95045,3384970,5017580
95046,3472360,4998130
95050,3573720,4900890
95051,3573570,4891510
95053,3573100,4905080
95054,3589510,4898130
95060,3470980,4835150
95062,3436760,4882420
95064,3447650,4861880
95065,3458380,4885380
95066,3473990,4878190
95070,3540700,4870940
95073,3457340,4895920
95076,3421180,4951800
95110,3571540,4913240
95111,3547770,4935760
95112,3570240,4921010
95113,3566500,4918070
95116,3572200,4929920
95117,3559170,4897040
95118,3538050,4916930
95119,3527840,4946100
95120,3516650,4931690
95121,3554670,4941650
95122,3564060,4934710
95123,3532910,4934360
95124,3539150,4907530
95125,3552690,4916910
95126,3564640,4910700
95127,3580290,4947260
95128,3560810,4904930
95129,3558260,4885630
95130,3551180,4890960
95131,3586140,4917470
95132,3595220,4939750
95133,3580000,4928070
95134,3602360,4904370
95135,3545340,4970060
95136,3542870,4928620
95138,3531870,4961830
95139,3524700,4952620
95140,3583080,4984430
95141,3506750,4956840
95148,3565320,4951800
95192,3567010,4921240
95202,3786010,5105030
95203,3783800,5092420
95204,3791370,5095720
95205,3787670,5112930
95206,3771170,5064150
95207,3802040,5094990
95209,3818650,5088530
95210,3811950,5102890
95211,3793770,5097870
95212,3817190,5123670
95215,3778270,5144900
95219,3811000,5051490
95220,3872560,5137170
95222,3811600,5311390
95223,3929960,5432710
95228,3771820,5280330
95230,3781530,5233980
95231,3755980,5101290
95232,3922180,5313710
95236,3817150,5180740
95237,3858610,5153110
95240,3841950,5142410
95242,3853770,5069250
95245,3907070,5330760
95246,3873890,5335200
95247,3832460,5349790
95249,3859700,5299730
95251,3827810,5343710
95252,3852920,5241190
95255,3946780,5380860
95257,3929490,5357050
95258,3861280,5101610
95301,3540730,5280870
95303,3601020,5277230
95304,3699250,5073780
