Van ID,Employer,Van Type,Vehicle Capacity,Industry,Industry Type,Origin,Destination,Origin Zip,Destination Zip,Daily Round Trip Mileage
2592,VA Medical Center,2018 Ford Explorer - 7 Seats,7,Government & Public Administration,Federal,South Suburban,Central,92173,92113,47
2595,BAE Systems,2020 Nissan PATH - 7 Seats,7,Manufacturing,Non-Federal,East Suburban,Central,91915,92132,40
2598,NAVFAC Southwest,2020 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,Central,92584,92106,154
2601,Naval Base Point Loma,2019 Chevrolet TRAV - 7 Seats,7,Military,Military,North City,South Suburban,92128,92179,78
2602,RJ Donovan Correction Facility,2019 Volkswagen ATLAS - 7 Seats,7,Government & Public Administration,Federal,Riverside County,North County West,92563,92055,52
2603,Camp Pendleton,2020 Nissan PATH - 7 Seats,7,Military,Military,North County East,North City,92078,92122,62
2608,Illumina,2019 Ford EXPL - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,Riverside County,North County West,92592,92008,74
2611,Thermo Fisher Scientific,2019 Dodge DURA - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,Riverside County,South Suburban,92592,92173,150
2613,US Border Patrol - San Ysidro,2020 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Federal,East Suburban,North City,91942,92122,30
2614,Illumina,2020 Nissan ARMADA - 8 Seats,8,"Professional, Scientific, & Technical Services",Non-Federal,Central,North City,91950,92161,42
2616,VA Medical Center,2018 Ford Explorer - 7 Seats,7,Government & Public Administration,Federal,South Suburban,North City,91911,92161,60
2618,VA Hospital - San Diego,2020 Ford TRANS - 9 Seats,9,Government & Public Administration,Federal,Riverside County,Central,92591,92136,124
2619,Naval Base San Diego,2020 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,North City,92530,92127,134
2621,BAE Systems,2020 Dodge DURA - 7 Seats,7,Manufacturing,Non-Federal,Riverside County,East Suburban,92592,92020,122
2623,US Border Patrol,2019 Ford TRANS - 8 Seats,8,Government & Public Administration,Federal,Riverside County,Central,92591,92101,138
